id,title,release_date,popularity,vote_average,vote_count
508965,Klaus,2019-11-08,25.673,8.238,3944
265177,Mommy,2014-09-19,22.134,8.238,2679
572154,Rascal Does Not Dream of a Dreaming Girl,2019-06-15,19.463,8.235,518
618344,Justice League Dark: Apokolips War,2020-05-05,33.154,8.23,1440
504253,I Want to Eat Your Pancreas,2018-09-01,38.029,8.228,1516
110420,Wolf Children,2012-07-21,42.289,8.228,2243
315162,Puss in Boots: The Last Wish,2022-12-07,156.059,8.226,7565
441130,Wolfwalkers,2020-10-26,22.17,8.221,1155
290098,The Handmaiden,2016-06-01,65.587,8.218,3662
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,105.214,8.218,3869
16869,Inglourious Basterds,2009-08-02,82.445,8.218,21984
857,Saving Private Ryan,1998-07-24,63.069,8.218,15621
98,Gladiator,2000-05-04,81.756,8.217,18202
24188,Il Sorpasso,1962-12-05,12.805,8.217,725
603,The Matrix,1999-03-31,101.802,8.217,25377
694,The Shining,1980-05-23,75.105,8.214,17215
354912,Coco,2017-10-27,137.365,8.212,19129
50014,The Help,2011-08-09,81.328,8.211,8137
361743,Top Gun: Maverick,2022-05-21,132.836,8.209,8987
37257,Witness for the Prosecution,1957-12-17,22.419,8.2,1363
284,The Apartment,1960-06-21,22.18,8.2,2239
1124,The Prestige,2006-10-17,61.122,8.204,15800
522924,The Art of Racing in the Rain,2019-08-08,24.346,8.2,1450
11324,Shutter Island,2010-02-14,70.026,8.203,23680
11,Star Wars,1977-05-25,92.086,8.204,20373
654299,Out of the Clear Blue Sky,2019-12-24,11.485,8.202,341
324786,Hacksaw Ridge,2016-10-07,118.999,8.198,13529
185,A Clockwork Orange,1971-12-19,59.639,8.198,12679
610892,Violet Evergarden: Eternity and the Auto Memory Doll,2019-09-06,24.565,8.197,360
556574,Hamilton,2020-07-03,18.548,8.2,1378
16672,Woman in the Dunes,1964-02-15,21.81,8.197,429
5156,Bicycle Thieves,1948-07-21,19.112,8.193,2344
476292,Maquia: When the Promised Flower Blooms,2018-02-24,39.596,8.192,621
490,The Seventh Seal,1957-02-16,18.497,8.2,2916
313106,Doctor Who: The Day of the Doctor,2013-11-23,14.589,8.189,742
629,The Usual Suspects,1995-07-19,40.746,8.185,10219
797,Persona,1966-10-18,21.852,8.183,2090
620683,My Mom Is a Character 3,2019-12-26,15.883,8.181,469
68718,Django Unchained,2012-12-25,60.783,8.181,25937
77,Memento,2000-10-11,44.099,8.181,14662
20334,The Shop Around the Corner,1940-01-12,26.251,8.2,701
10098,The Kid,1921-01-21,18.73,8.181,2052
592350,My Hero Academia: Heroes Rising,2019-12-20,31.227,8.178,1137
26451,Investigation of a Citizen Above Suspicion,1970-10-16,13.141,8.178,757
92060,Michael Jackson's Thriller,1983-11-14,17.302,8.175,664
537061,Steven Universe: The Movie,2019-10-07,27.621,8.176,771
20941,Innocent Voices,2005-01-28,21.556,8.174,465
18148,Tokyo Story,1953-11-03,24.958,8.171,1023
810693,Jujutsu Kaisen 0,2021-12-24,80.639,8.168,1357
426,Vertigo,1958-05-28,33.224,8.2,5639
1026227,There's Still Tomorrow,2023-10-26,41.202,8.167,1147
111,Scarface,1983-12-09,81.262,8.167,11620
693134,Dune: Part Two,2024-02-27,302.993,8.165,5170
1422,The Departed,2006-10-04,53.602,8.166,14672
81481,Silenced,2011-09-22,34.915,8.161,609
872,Singin' in the Rain,1952-04-09,62.25,8.2,3076
851644,20th Century Girl,2022-10-06,93.902,8.16,672
289,Casablanca,1943-01-15,54.772,8.16,5331
475557,Joker,2019-10-01,129.394,8.157,25099
489,Good Will Hunting,1997-12-05,71.041,8.158,12153
422,8½,1963-02-14,22.117,8.2,2230
517814,Capernaum,2018-09-20,27.657,8.155,1656
606856,Togo,2019-12-20,22.783,8.2,1971
348,Alien,1979-05-25,236.402,8.154,14444
399106,Piper,2016-06-16,10.817,8.152,1599
1398,Stalker,1979-05-25,45.261,8.152,2100
791373,Zack Snyder's Justice League,2021-03-18,81.817,8.148,9854
575813,Better Days,2019-10-25,33.3,8.1,426
103,Taxi Driver,1976-02-09,57.726,8.146,12036
133919,Scenes from a Marriage,1974-09-15,15.89,8.145,335
37165,The Truman Show,1998-06-04,98.633,8.143,18066
458220,Palmer,2021-01-28,26.711,8.137,1564
406997,Wonder,2017-11-13,52.507,8.134,7774
398818,Call Me by Your Name,2017-07-28,52.907,8.1,11953
614,Wild Strawberries,1957-08-28,14.222,8.133,1590
600,Full Metal Jacket,1987-06-26,138.826,8.131,10314
508442,Soul,2020-12-25,58.112,8.129,10286
55823,The Great War,1959-10-28,6.951,8.129,338
470044,The Hate U Give,2018-10-19,22.378,8.128,2085
518068,Along with the Gods: The Last 49 Days,2018-08-01,31.978,8.127,644
20914,My Friends,1975-10-24,9.475,8.1,687
500,Reservoir Dogs,1992-09-02,44.82,8.126,14103
19,Metropolis,1927-02-06,34.189,8.125,2691
600354,The Father,2020-12-23,22.592,8.124,3117
762975,Purple Hearts,2022-07-29,38.218,8.123,2472
100,"Lock, Stock and Two Smoking Barrels",1998-08-28,16.217,8.122,6473
280,Terminator 2: Judgment Day,1991-07-03,96.181,8.119,12661
996,Double Indemnity,1944-07-06,21.936,8.1,1757
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,39.54,8.118,5512
9702,Bound by Honor,1993-02-05,70.869,8.117,1283
843,In the Mood for Love,2000-09-29,51.857,8.117,2648
663558,New Gods: Nezha Reborn,2021-02-06,24.705,8.116,408
531428,Portrait of a Lady on Fire,2019-09-18,31.618,8.116,2482
38288,I corti,1996-03-29,4.704,8.115,344
411088,The Invisible Guest,2017-01-06,40.694,8.113,4469
46738,Incendies,2010-09-17,43.602,8.1,2640
838240,Robot Dreams,2023-12-06,64.202,8.1,457
664767,Mortal Kombat Legends: Scorpion's Revenge,2020-04-12,36.413,8.104,1357
666,Central Station,1998-11-20,14.896,8.104,872
11878,Yojimbo,1961-04-25,26.172,8.103,1401
655,"Paris, Texas",1984-07-16,23.802,8.103,1780
103663,The Hunt,2012-06-13,24.306,8.102,4091
239,Some Like It Hot,1959-03-19,45.896,8.1,3402
38,Eternal Sunshine of the Spotless Mind,2004-03-19,69.003,8.101,14676
755812,"Miraculous World: New York, United HeroeZ",2020-09-25,34.867,8.1,1081
555604,Guillermo del Toro's Pinocchio,2022-11-09,34.659,8.1,2838
146233,Prisoners,2013-09-19,69.844,8.1,11578
20532,Sansho the Bailiff,1954-03-31,16.033,8.099,360
705,All About Eve,1950-11-09,19.685,8.1,1495
532067,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,2019-08-30,24.744,8.096,537
24382,Big Deal on Madonna Street,1958-07-26,13.333,8.096,683
12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,136.971,8.095,20292
406,La Haine,1995-05-31,22.297,8.1,3964
872585,Oppenheimer,2023-07-19,156.741,8.094,8888
439,La Dolce Vita,1960-02-05,26.077,8.1,1806
149871,The Tale of The Princess Kaguya,2013-11-23,40.521,8.092,1750
10681,WALL·E,2008-06-22,80.892,8.091,18535
2457,Children of Paradise,1945-03-15,12.32,8.1,402
832,M,1931-05-11,18.86,8.091,2130
387,Das Boot,1981-09-17,25.036,8.089,2168
3780,Red Beard,1965-04-03,16.809,8.088,347
548,Rashomon,1950-08-26,19.502,8.087,2164
397567,Along with the Gods: The Two Worlds,2017-12-20,36.736,8.083,1021
550776,Believe Me: The Abduction of Lisa McVey,2018-09-30,32.039,8.084,607
7345,There Will Be Blood,2007-12-26,36.459,8.081,6481
640344,Me Against You: Mr. S's Vendetta,2020-01-17,6.273,8.08,465
831827,Far from the Tree,2021-11-24,16.601,8.075,361
4348,Pride & Prejudice,2005-09-16,73.394,8.075,7911
359940,"Three Billboards Outside Ebbing, Missouri",2017-12-01,25.226,8.071,9953
21634,Prayers for Bobby,2009-01-24,24.592,8.071,575
992,Sherlock Jr.,1924-04-17,11.531,8.071,961
62,2001: A Space Odyssey,1968-04-02,140.544,8.071,11330
334543,Lion,2016-11-24,35.279,8.07,6461
11645,Ran,1985-06-01,22.883,8.1,1506
11659,The Best of Youth,2003-06-22,13.757,8.1,516
8392,My Neighbor Totoro,1988-04-10,69.282,8.069,7821
522518,A Dog's Journey,2019-05-03,33.736,8.069,1472
472454,Ayla: The Daughter of War,2017-10-27,15.49,8.067,350
437068,A Taxi Driver,2017-08-02,25.154,8.062,949
381284,Hidden Figures,2016-12-10,61.927,8.06,9578
11423,Memories of Murder,2003-05-02,31.439,8.06,3713
8422,Rocco and His Brothers,1960-10-07,15.552,8.1,573
1091,The Thing,1982-06-25,56.236,8.06,6818
7347,Elite Squad,2007-10-12,36.632,8.056,2357
42229,A Special Day,1977-08-11,10.319,8.1,644
785534,Paper Lives,2021-03-12,13.523,8.051,376
120467,The Grand Budapest Hotel,2014-02-26,44.6,8.05,14599
638507,How to Train Your Dragon: Homecoming,2019-12-03,40.88,8.048,930
906126,Society of the Snow,2023-12-15,63.796,8.045,2769
538362,On My Skin,2018-09-12,9.139,8.044,1838
347688,Scooby-Doo! and KISS: Rock and Roll Mystery,2015-07-10,15.97,8.037,311
1000492,All Your Faces,2023-03-29,14.103,8.042,508
821,Judgment at Nuremberg,1961-12-18,18.583,8.0,763
823754,Bo Burnham: Inside,2021-07-22,14.259,8.043,469
310569,The Second Mother,2015-06-04,9.39,8.04,711
800,The Young and the Damned,1950-12-09,15.179,8.04,462
204,The Wages of Fear,1953-04-22,21.555,8.038,916
147,The 400 Blows,1959-06-03,33.755,8.0,2090
400928,Gifted,2017-04-07,56.031,8.036,5329
31439,To Live,1994-05-26,17.765,8.036,303
106646,The Wolf of Wall Street,2013-12-25,112.553,8.035,23630
1955,The Elephant Man,1980-10-09,28.521,8.035,3419
26022,My Name Is Khan,2010-02-10,25.23,8.033,1290
582,The Lives of Others,2006-03-23,20.399,8.032,3588
279,Amadeus,1984-09-19,36.344,8.032,4160
9277,The Sting,1973-12-25,27.597,8.0,2557
962232,Beyond the Universe,2022-10-27,13.082,8.027,311
610461,"Veinteañera, divorciada y fantástica",2020-02-14,14.182,8.026,385
515001,Jojo Rabbit,2019-10-18,27.831,8.024,9382
678580,El mesero,2021-07-15,11.729,8.023,348
264644,Room,2015-10-16,28.034,8.022,9042
12761,Autumn Sonata,1978-10-08,18.458,8.019,573
938,For a Few Dollars More,1965-12-18,41.47,8.019,3877
673,Harry Potter and the Prisoner of Azkaban,2004-05-31,132.823,8.017,21266
14,American Beauty,1999-09-15,45.526,8.018,11878
641,Requiem for a Dream,2000-10-06,20.567,8.016,9791
521,Dial M for Murder,1954-05-29,26.112,8.0,2542
43949,Flipped,2010-08-06,91.095,8.014,2912
337404,Cruella,2021-05-26,69.028,8.012,9187
55960,"Toto, Peppino, and the Hussy",1956-08-23,5.642,8.01,337
15,Citizen Kane,1941-04-17,44.028,8.01,5416
678512,Sound of Freedom,2023-07-03,75.65,8.01,2313
449176,"Love, Simon",2018-02-16,23.619,8.009,5993
895,Andrei Rublev,1966-12-16,18.257,8.009,796
780,The Passion of Joan of Arc,1928-04-21,11.636,8.011,913
526702,Black Beauty,2020-11-27,13.664,8.0,332
3175,Barry Lyndon,1975-12-18,24.849,8.0,2748
110416,Song of the Sea,2014-06-23,17.447,8.007,1394
28178,Hachi: A Dog's Tale,2009-06-08,48.628,8.007,6591
11778,The Deer Hunter,1978-12-08,35.969,8.007,3734
524,Casino,1995-11-22,38.581,8.006,5720
307,"Rome, Open City",1945-10-08,13.514,8.006,861
740937,Simone: Woman of the Century,2022-10-12,8.517,8.005,315
359724,Ford v Ferrari,2019-11-13,50.493,8.005,7786
339877,Loving Vincent,2017-06-22,20.097,8.004,2412
25376,The Secret in Their Eyes,2009-08-13,29.974,8.005,2482
930094,"Red, White & Royal Blue",2023-07-27,81.29,8.001,1222
568160,Weathering with You,2019-06-19,36.9,8.003,2241
947,Lawrence of Arabia,1962-12-11,35.963,8.002,2945
595,To Kill a Mockingbird,1962-12-20,30.394,8.0,2552
429210,Bingo: The King of the Mornings,2017-08-24,10.505,7.997,379
205596,The Imitation Game,2014-11-14,82.68,8.0,16820
414419,Kill Bill: The Whole Bloody Affair,2011-03-27,26.909,8.0,978
11658,Tae Guk Gi: The Brotherhood of War,2004-02-05,20.127,8.001,651
455661,In a Heartbeat,2017-06-01,6.982,7.996,990
962,The Gold Rush,1925-07-13,14.641,8.0,1566
140420,Paperman,2012-11-02,16.156,7.996,1689
20453,3 Idiots,2009-12-23,39.258,7.994,2338
530915,1917,2019-12-25,47.103,7.992,12191
18438,Castaway on the Moon,2009-05-14,20.529,7.992,653
13223,Gran Torino,2008-12-12,31.688,7.992,10559
28978,The Circus,1928-01-29,12.406,8.0,767
7508,Like Stars on Earth,2007-12-21,24.482,8.0,1136
424694,Bohemian Rhapsody,2018-10-24,53.01,7.986,16696
19426,Nights of Cabiria,1957-10-03,17.8,8.0,740
488623,Forgotten,2017-11-29,25.896,7.983,1069
11104,Chungking Express,1994-07-14,46.615,7.981,1745
213,North by Northwest,1959-07-08,32.574,8.0,4023
10515,Castle in the Sky,1986-08-02,54.099,7.978,4108
640,Catch Me If You Can,2002-12-16,75.84,7.978,15427
2517,Nobody Knows,2004-08-07,18.442,7.977,502
20530,Late Spring,1949-09-13,17.744,7.973,396
14696,Ugetsu,1953-03-26,22.603,7.973,554
1396,Mirror,1975-03-07,32.74,8.0,918
862,Toy Story,1995-10-30,112.201,7.972,18177
447365,Guardians of the Galaxy Vol. 3,2023-05-03,131.006,7.97,6627
5801,Song of the Little Road,1955-08-26,12.246,7.97,405
3090,The Treasure of the Sierra Madre,1948-01-15,21.333,7.97,1169
76,Before Sunrise,1995-01-27,40.454,8.0,4051
627,Trainspotting,1996-02-23,33.372,7.969,9508
24,Kill Bill: Vol. 1,2003-10-10,75.424,7.969,17156
447365,Guardians of the Galaxy Vol. 3,2023-05-03,131.006,7.968,6630
574074,Kitbull,2019-01-18,26.963,7.967,363
9764,Dersu Uzala,1975-08-02,13.921,8.0,519
315465,The Boy and the Beast,2015-07-11,26.822,7.965,1448
19542,The Red Shoes,1948-09-06,20.748,8.0,636
28422,Love Exposure,2009-01-31,19.345,8.0,429
160885,Tel chi el telùn,1999-05-12,8.514,7.962,316
634649,Spider-Man: No Way Home,2021-12-15,199.253,7.961,19832
12104,Pink Floyd: The Wall,1982-07-14,18.135,8.0,1464
961,The General,1926-12-25,16.161,7.961,1207
554596,No Manches Frida 2,2019-03-15,30.596,7.96,857
38360,The Cranes Are Flying,1957-10-12,16.141,7.959,365
38286,Three Men and a Leg,1997-12-27,9.614,7.959,2044
615457,Nobody,2021-03-18,55.145,7.958,6944
14160,Up,2009-05-28,109.821,7.958,19970
745,The Sixth Sense,1999-08-06,43.594,7.957,11516
70,Million Dollar Baby,2004-12-15,26.676,7.957,9397
916224,Suzume,2022-11-11,59.663,7.956,1243
15244,A Man Escaped,1956-11-11,13.813,8.0,508
5925,The Great Escape,1963-07-03,29.83,7.9,2493
1580,Rope,1948-03-11,25.497,7.95,2630
329,Jurassic Park,1993-06-11,35.933,7.949,16083
11712,Sanjuro,1962-01-01,14.411,7.9,589
149,Akira,1988-06-10,59.47,7.948,4132
237791,The Way He Looks,2014-04-10,17.06,7.9,932
158445,Miracle in Cell No. 7,2013-01-23,21.849,7.9,422
10997,Farewell My Concubine,1993-01-01,29.795,7.947,560
29264,The Exterminating Angel,1962-05-16,9.581,7.946,642
242828,When Marnie Was There,2014-07-19,39.927,7.945,1758
37797,Whisper of the Heart,1995-07-15,34.232,7.945,1940
10386,The Iron Giant,1999-08-06,42.637,7.945,5495
770,Gone with the Wind,1939-03-12,47.579,7.9,3958
15383,Army of Shadows,1969-09-10,17.228,7.944,621
10404,Raise the Red Lantern,1991-12-18,20.054,7.9,691
6977,No Country for Old Men,2007-06-13,58.492,7.943,11792
679,Aliens,1986-07-18,175.016,7.944,9524
776503,CODA,2021-08-13,43.495,7.942,2150
76203,12 Years a Slave,2013-10-18,35.362,7.942,11105
81,Nausicaä of the Valley of the Wind,1984-03-11,42.701,7.942,3499
1059,The Hidden Fortress,1958-12-28,15.719,7.9,599
197,Braveheart,1995-05-24,65.806,7.94,9970
1010581,My Fault,2023-06-08,329.299,7.937,2863
20803,Ivan Vasilyevich Changes His Profession,1973-09-17,13.205,7.9,344
78,Blade Runner,1982-06-25,78.52,7.938,13574
41050,La Notte,1961-01-24,10.791,7.937,652
3777,Throne of Blood,1957-01-15,22.016,7.937,820
11010,The Postman,1994-04-07,17.929,7.9,1120
10238,Cries and Whispers,1972-12-21,15.081,7.936,668
1578,Raging Bull,1980-11-14,30.965,7.933,4229
426618,Where Hands Touch,2018-09-14,12.361,7.932,510
8290,Don't Look Now... We're Being Shot At!,1966-12-08,24.869,7.932,1307
296096,Me Before You,2016-06-01,82.449,7.93,12225
152532,Dallas Buyers Club,2013-11-01,26.635,7.929,8356
234,The Cabinet of Dr. Caligari,1920-02-27,25.043,7.929,1544
85,Raiders of the Lost Ark,1981-06-12,78.615,7.927,12246
920394,My Father's Violin,2022-01-21,12.369,7.926,325
654,On the Waterfront,1954-06-22,22.279,7.9,1541
122906,About Time,2013-09-04,55.819,7.924,8346
9323,Ghost in the Shell,1995-11-18,50.658,7.924,3317
615453,Ne Zha,2019-07-26,19.973,7.923,392
28971,Limelight,1952-10-23,12.06,7.9,510
775,A Trip to the Moon,1902-04-17,23.719,7.921,1751
142061,"Batman: The Dark Knight Returns, Part 2",2013-01-03,28.576,7.92,1447
949,Heat,1995-12-15,63.342,7.919,7166
378108,In This Corner of the World,2016-11-12,17.347,7.919,549
1646,Freedom Writers,2007-01-05,33.389,7.918,2151
1092,The Third Man,1949-08-31,30.101,7.9,1815
489412,It's Such a Beautiful Day,2012-08-24,7.719,7.918,310
10242,What Ever Happened to Baby Jane?,1962-10-31,22.741,7.918,1015
110,Three Colors: Red,1994-05-12,21.003,7.917,1344
49964,Where Is The Friend's House?,1987-07-01,15.361,7.915,340
829,Chinatown,1974-06-20,39.456,7.915,3741
491480,The Boy Who Harnessed the Wind,2019-02-14,27.611,7.914,1627
150540,Inside Out,2015-06-17,234.977,7.914,21579
360814,Dangal,2016-12-21,25.323,7.913,954
360814,Dangal,2016-12-21,25.323,7.913,954
671,Harry Potter and the Philosopher's Stone,2001-11-16,178.337,7.913,27033
33,Unforgiven,1992-08-07,42.071,7.913,4311
194,Amélie,2001-04-25,51.66,7.912,11372
482321,Ron's Gone Wrong,2021-10-14,33.907,7.911,1822
405,La Strada,1954-09-23,9.484,7.9,1035
505262,My Hero Academia: Two Heroes,2018-08-03,33.601,7.91,979
21334,Children of Heaven,1997-08-01,16.647,7.91,603
10674,Mulan,1998-06-18,82.562,7.91,9496
726684,Miraculous World: Shanghai – The Legend of Ladydragon,2021-05-15,34.996,7.909,628
334533,Captain Fantastic,2016-07-08,29.721,7.908,6311
118340,Guardians of the Galaxy,2014-07-30,47.004,7.907,27786
13398,Tokyo Godfathers,2003-12-05,28.201,7.907,1231
7984,In the Name of the Father,1993-12-12,17.489,7.907,1714
455714,Bad Genius,2017-05-03,17.796,7.906,768
597,Titanic,1997-11-18,146.363,7.906,25067
501929,The Mitchells vs. the Machines,2021-04-22,42.738,7.905,2892
48035,Ordet,1955-01-09,8.399,7.9,351
7857,Amarcord,1973-12-18,13.198,7.9,1079
313369,La La Land,2016-11-29,50.623,7.903,16603
961323,Nimona,2023-06-23,47.596,7.902,1033
550205,Wish Dragon,2021-01-15,46.923,7.902,1310
404378,A Street Cat Named Bob,2016-11-04,13.857,7.902,1358
1402,The Pursuit of Happyness,2006-12-14,63.628,7.902,9716
827,Diabolique,1955-01-29,18.449,7.9,939
30017,Close-Up,1990-05-09,11.065,7.901,362
698948,Thirteen Lives,2022-07-18,31.661,7.9,1218
458302,"Remi, Nobody's Boy",2018-12-12,10.77,7.9,408
610150,Dragon Ball Super: Super Hero,2022-06-11,48.715,7.899,2790
60243,A Separation,2011-02-15,15.409,7.899,1685
2011,Persepolis,2007-06-27,22.473,7.899,1910
354857,Regular Show: The Movie,2015-09-01,13.819,7.898,368
1892,Return of the Jedi,1983-05-25,40.382,7.898,15488
752,V for Vendetta,2006-02-23,47.185,7.897,14285
503314,Dragon Ball Super: Broly,2018-12-14,9.715,7.896,2861
223,Rebecca,1940-03-23,28.021,7.9,1720
210577,Gone Girl,2014-10-01,84.662,7.894,18368
20271,Divorce Italian Style,1961-12-20,13.811,7.9,442
548544,Invisible Life,2019-08-30,9.474,7.9,300
20722,La Maison en Petits Cubes,2008-06-10,10.05,7.893,429
714888,"Argentina, 1985",2022-09-29,16.889,7.891,605
316029,The Greatest Showman,2017-12-20,62.417,7.891,9298
183011,Justice League: The Flashpoint Paradox,2013-07-30,28.59,7.892,1802
11036,The Notebook,2004-06-25,72.881,7.89,11326
17295,The Battle of Algiers,1966-09-08,17.296,7.9,741
522402,Finch,2021-11-04,30.543,7.888,3401
